;Area Code;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
0;1;Armenia;2017;135;98,5;101,7;48;47,9;0,2;12509,6;2,56;1868;35,7;42;99;93,5;85,4;64,6;42;29
1;1;Armenia;2018;135;99,1;101,7;48,7;55;0,2;13231,4;2,56;1865;31,4;65;99;93,7;85,9;66,1;43;26
2;1;Armenia;2019;137;100,6;101;48,3;73;0,2;14317,6;2,56;1864;46,9;60;99;93,9;86,4;67,8;43;25
3;1;Armenia;2020;139;100,2;100;47;73,5;0,21;13357,7;2,56;1864;53,2;47;99;93,9;86,9;69,3;44;24
4;1;Armenia;2021;141;;;;;0,2;14193,1;2,56;1865;;38;;;;;;24
5;2;Afghanistan;2017;108;39,7;58,3;11,3;34,2;0,32;2096,1;3,82;1656;6,7;26;66,8;45,8;25,1;;72;388
6;2;Afghanistan;2018;108;40,7;58;10,7;41,3;0,32;2060,7;3,82;1659;5,6;27;69,6;47,4;25,9;;72;378
7;2;Afghanistan;2019;107;40,8;57,3;10,3;40,9;0,33;2079,9;3,82;1661;8,5;31;72,4;49;26,8;;71;311
8;2;Afghanistan;2020;106;40,4;56,3;10;38,1;0,39;1968,3;3,82;1665;8,6;32;75,1;50,5;27,6;;71;284
9;2;Afghanistan;2021;106;;;;;0,39;1516,3;3,82;1667;;31;;;;;;238
10;3;Albania;2017;135;115,7;113;60,3;37,6;0,29;12771;2,64;1909;9,4;46;94,1;98,5;70,6;47,1;36;25
11;3;Albania;2018;135;117,3;113,3;61;37,3;0,3;13317,1;2,64;1909;4,9;27;94,4;99;70,7;47,4;36;21
12;3;Albania;2019;136;116,5;113,7;61,3;38,3;0,29;13653,2;2,64;1908;5,7;14;94,8;99;70,7;47,6;35;18
13;3;Albania;2020;135;114,4;113;60;38,5;0,29;13253,8;2,64;1908;7,4;13;95,1;99;70,7;47,7;35;20
14;3;Albania;2021;135;;;;;0,29;14516,3;2,64;1909;;13;;;;;;24
15;4;Algeria;2017;149;97,3;89,6;25,7;77,4;0,3;11809,5;3,65;1785;9,8;27;93,8;86,5;74,6;18,3;50;25
16;4;Algeria;2018;149;95,2;89,3;25;74,3;0,29;11725,9;3,65;1784;12,3;51;94;86,3;73,9;18,1;50;23
17;4;Algeria;2019;149;92,3;89,7;24,7;72,5;0,29;11627,3;3,65;1783;5,6;52;94,2;86,1;73,1;17,8;51;22
18;4;Algeria;2020;150;93,1;90;24,3;73,8;0,29;10844,8;3,65;1783;7,5;42;94,4;86;72,4;17,6;51;25
19;4;Algeria;2021;151;;;;;0,3;11039,8;3,65;1784;;45;;;;;;28
20;5;American Samoa;2017;;;;;;;;3,02;;;;99;54,5;98,4;;;
21;5;American Samoa;2018;;;;;;;;3,02;;;;99;54,5;98,4;;;
22;5;American Samoa;2019;;;;;;;;3,02;;;;99;54,5;98,4;;;
23;5;American Samoa;2020;;;;;;;;3,02;;;;99;54,5;98,4;;;
24;5;American Samoa;2021;;;;;;;;3,02;;;;;;;;;
25;6;Andorra;2017;;;;;;;;3,02;;;;99;99;90,6;99;;
26;6;Andorra;2018;;;;;;;;3,02;;;;99;99;90,6;99;;
27;6;Andorra;2019;;;;;;;;3,02;;;;99;99;90,6;99;;
28;6;Andorra;2020;;;;;;;;3,02;;;;99;99;90,6;99;;
29;6;Andorra;2021;;;;;;;;3,02;;;;;;;;;
30;7;Angola;2017;116;59,7;52,7;16;43,6;0,3;7216,1;3,2;1666;20,3;90;55,8;49,9;;;60;8
31;7;Angola;2018;116;59,1;52;15,3;41,8;0,3;6878,6;3,2;1668;17,8;97;56,6;51,1;;;61;7
32;7;Angola;2019;115;58,3;50,9;14,6;41,8;0,31;6602,4;3,2;1670;1,9;78;56,9;51,4;;;61;7
33;7;Angola;2020;114;56,8;48,9;13,3;42,9;0,35;6032,3;3,2;1672;2,7;27;57,2;51,7;;;62;7
34;7;Angola;2021;113;;;;;0,36;5908,6;3,2;1674;;8;;;;;;7
35;8;Antigua and Barbuda;2017;;92,7;78,3;50;100;0,24;20777,9;4,18;1904;7,1;;96,7;87,5;;;32;96
36;8;Antigua and Barbuda;2018;;92,6;79;50,3;98,8;0,24;22085,3;4,18;1902;4,3;;;;;;32;98
37;8;Antigua and Barbuda;2019;;92,8;80,3;51,3;94,7;0,24;23035,7;4,18;1904;2,7;;;;;;31;122
38;8;Antigua and Barbuda;2020;;90,6;81;52,3;97,5;0,24;18275,7;4,18;1906;2,4;;;;;;33;251
39;8;Antigua and Barbuda;2021;;;;;;0,24;19124,4;4,18;1904;;;;;;;;401
40;9;Argentina;2017;132;119,3;105;67;-152,3;0,26;23597,1;2,49;1867;64,1;34;;;;;36;3
41;9;Argentina;2018;132;119,5;105,7;67,3;-167,5;0,27;22747,2;2,49;1869;44,2;33;;;;;36;5
42;9;Argentina;2019;134;121,1;108,7;68;-133,4;0,28;22071,7;2,49;1871;74,2;33;;;;;35;5
43;9;Argentina;2020;135;122,8;111,7;68,3;-139;0,28;19685,2;2,49;1874;81,6;32;;;;;35;6
44;9;Argentina;2021;136;;;;;0,28;21527,2;2,49;1878;;11;;;;;;5
45;10;Australia;2017;141;159,7;107,3;73;-189,9;0,21;48400,2;2,12;1912;32,8;46;99;99;;71,4;24;5
46;10;Australia;2018;140;160,1;107;72,3;-181,2;0,21;49052,8;2,12;1912;55,1;36;99;99;;72,3;24;5
47;10;Australia;2019;140;160,2;107,7;71,7;-134,9;0,21;49379,1;2,12;1913;71;29;99;99;;73,3;24;5
48;10;Australia;2020;140;159,1;110,4;73;-132,6;0,21;48747,9;2,12;1913;109,3;26;99;99;;74,3;24;5
49;10;Australia;2021;139;;;;;0,22;49774,3;2,12;1915;;38;;;;;;5
50;11;Austria;2017;147;163,8;107,7;64,3;14,5;0,2;54173;1,86;1945;18,1;52;99;99;98,9;99;28;7
51;11;Austria;2018;147;164,6;108,3;65;14,9;0,2;55217,3;1,86;1943;17,2;35;99;99;98,9;99;28;7
52;11;Austria;2019;149;170;108,3;64,3;17,1;0,2;55806,4;1,86;1942;15,4;18;99;99;98,9;99;28;7
53;11;Austria;2020;149;176,1;108;64;17,8;0,2;51988,4;1,86;1941;8,5;33;99;99;98,9;99;27;7
54;11;Austria;2021;150;;;;;0,21;54121,1;1,86;1940;;33;;;;;;7
55;12;Bahamas;2017;;98,6;82,7;53,7;97,5;0,21;34357,3;4,07;1912;0,9;;98,9;94,9;;;29;109
56;12;Bahamas;2018;;100,4;81,7;52,7;98,3;0,21;34735,1;4,07;1915;1,1;;98,9;94,9;;;29;103
57;12;Bahamas;2019;;103,1;80;52;100;0,21;35161,8;4,07;1915;1;;98,9;94,9;;;28;94
58;12;Bahamas;2020;;103,7;78,7;51,3;99;0,21;26659,2;4,07;1919;1;;;;;;28;96
59;12;Bahamas;2021;;;;;;0,21;30210,2;4,07;1921;;;;;;;;75
60;13;Bahrain;2017;;;;;;0,11;48929,4;3,02;1939;6,5;;99;99;99;88,8;;11
61;13;Bahrain;2018;;;;;;0,11;48937,7;3,02;1940;8,3;;99;99;99;90;;10
62;13;Bahrain;2019;;;31;16,5;;0,11;49769;3,02;1938;8,4;;99;99;99;91,2;;9
63;13;Bahrain;2020;;;62;33,6;;0,11;47847,8;3,02;1935;8,9;;99;99;99;91,2;;10
64;13;Bahrain;2021;;;;;;0,11;49387,4;3,02;1933;;;;;;;;9
65;14;Barbados;2017;125;94;87,3;49,3;100;0,22;16199;3,38;1902;6,9;41;98,5;97,3;;;33;62
66;14;Barbados;2018;124;92,3;87,7;49,3;100;0,22;16003,9;3,38;1905;8,3;45;98,5;97,3;;;33;64
67;14;Barbados;2019;125;92,2;88;50;100;0,22;15954,8;3,38;1907;12,6;38;98,5;98,1;;;33;69
68;14;Barbados;2020;126;94,8;88;50;100;0,22;13805,8;3,38;1909;12,3;34;98,5;98,1;;;33;77
69;14;Barbados;2021;127;;;;;0,22;13754,8;3,38;1910;;24;;;;;;84
70;16;Bangladesh;2017;109;33,4;58;11,7;12;0,26;4830,8;2,64;1775;3,6;31;97,4;49,7;57,2;35,7;78;21
71;16;Bangladesh;2018;109;33,7;59;12;12,9;0,26;5124,5;2,64;1781;3,7;31;97,5;51,2;57,6;36,7;78;19
72;16;Bangladesh;2019;110;34,2;60;12;12,3;0,25;5467,2;2,64;1784;3,6;38;97,6;52,7;58;37,7;78;20
73;16;Bangladesh;2020;111;34,7;60,7;12,3;11,2;0,25;5591,4;2,64;1786;3,6;38;97,7;54,2;58,5;38,7;77;22
74;16;Bangladesh;2021;111;;;;;0,26;5911;2,64;1788;;34;;;;;;25
75;17;Bermuda;2017;;;;;;0,24;81835;3,02;1907;;;99;99;;;;
76;17;Bermuda;2018;;;;;;0,24;81423,4;3,02;1908;;;99;99;;;;
77;17;Bermuda;2019;;;;;;0,24;81681,7;3,02;1910;;;99;99;;;;
78;17;Bermuda;2020;;;;;;0,24;76117,8;3,02;1911;;;99;99;;;;
79;17;Bermuda;2021;;;;;;0,24;80271,1;3,02;1909;;;;;;;;
80;18;Bhutan;2017;;;;;;0,21;10986,9;3,02;1815;15,7;;97,2;72,6;36,2;63,5;;22
81;18;Bhutan;2018;;;;;;0,21;11233,8;3,02;1821;19;;97,3;73,9;36,3;64;;23
82;18;Bhutan;2019;;;29,5;10,4;;0,21;11797,3;3,02;1828;18,4;;97,3;75,2;36,5;64,6;;24
83;18;Bhutan;2020;;;59,5;20,7;;0,21;10547,1;3,02;1833;16,7;;97,3;76,5;36,6;65,2;;24
84;18;Bhutan;2021;;;;;;0,21;10907,9;3,02;1836;;;;;;;;24
85;19;Bolivia (Plurinational State of);2017;104;64;73,3;35;18,1;0,24;8244,9;2,25;1756;6,5;25;91,7;60,2;;48,5;49;8
86;19;Bolivia (Plurinational State of);2018;105;64,6;73,7;35;20;0,24;8466,3;2,25;1758;12,8;27;92,3;62,1;;49,9;49;8
87;19;Bolivia (Plurinational State of);2019;106;65,8;74,7;35,3;18,9;0,24;8528,7;2,25;1760;13,1;30;92,8;63,9;;51,4;48;8
88;19;Bolivia (Plurinational State of);2020;106;65,3;75;34,7;17,1;0,24;7679,9;2,25;1763;13,4;20;93,4;65,8;;52,9;49;8
89;19;Bolivia (Plurinational State of);2021;105;;;;;0,29;8052,2;2,25;1765;;18;;;;;;7
90;20;Botswana;2017;103;68,1;72;29;86,4;0,34;14656,8;1,54;1814;25,3;26;90,3;77,3;;;53;9
91;20;Botswana;2018;103;67,3;70,7;28;89,3;0,34;14962,1;1,54;1816;14,5;32;91,2;78,5;;;54;9
92;20;Botswana;2019;103;67;70;27;91,2;0,34;15118;1,54;1818;7,6;44;92,1;79,8;;;54;11
93;20;Botswana;2020;104;68,3;70,7;27,7;81,6;0,37;13545,7;1,54;1820;12,5;36;92,2;80;;;54;13
94;20;Botswana;2021;107;;;;;0,37;14840,9;1,54;1824;;22;;;;;;14
95;21;Brazil;2017;132;125;93;52,3;-22,5;0,24;14477,9;3,35;1887;25,3;37;98,5;87,7;83,5;45,9;32;4
96;21;Brazil;2018;133;125,8;94,3;53,3;-17,5;0,24;14619,6;3,35;1887;25,8;39;98,7;88,5;84,3;46,8;33;4
97;21;Brazil;2019;133;129,5;94;54,3;-26,1;0,24;14685,1;3,35;1887;24,1;37;98,9;89,3;85,1;47,8;32;4
98;21;Brazil;2020;134;134,5;93,7;55;-28,3;0,27;14022;3,35;1888;23,9;26;99;90,1;85,8;48,7;31;4
99;21;Brazil;2021;134;;;;;0,3;14592,4;3,35;1889;;27;;;;;;4
100;23;Belize;2017;120;74,5;68;25,7;17,5;0,25;8873,8;3,34;1765;25,6;39;98;87,9;;;40;26
101;23;Belize;2018;121;80;69;27,4;16,7;0,25;8798,5;3,34;1769;21,4;24;98,4;88,2;;;39;28
102;23;Belize;2019;123;89,9;69,4;30,1;18,3;0,25;9028,6;3,34;1772;21,7;26;98,4;88,2;;;38;29
103;23;Belize;2020;125;96,1;71,3;32;21,4;0,25;7703,1;3,34;1777;23,5;40;98,4;88,2;;;37;30
104;23;Belize;2021;125;;;;;0,25;8762,6;3,34;1783;;41;;;;;;32
105;25;Solomon Islands;2017;105;47,8;54,3;15,7;;0,29;2625,1;2,02;1699;7,6;19;67,8;33,5;;;69;25
106;25;Solomon Islands;2018;106;49,6;53,3;15,3;;0,29;2633,3;2,02;1701;6,2;30;67;34,2;;;68;24
107;25;Solomon Islands;2019;107;53,5;52;15;;0,29;2616,9;2,02;1702;5,7;31;67,2;34,5;;;66;24
108;25;Solomon Islands;2020;107;56,4;50,6;15;;0,29;2469,1;2,02;1706;5;25;67,3;34,8;;;64;24
109;25;Solomon Islands;2021;107;;;;;0,29;2406,1;2,02;1707;;14;;;;;;24
110;26;Brunei Darussalam;2017;;;;;;0,21;60173,1;1,59;1866;6,7;;99;;;;;7
111;26;Brunei Darussalam;2018;;;;;;0,21;59650,2;1,59;1868;7,8;;99;;;;;7
112;26;Brunei Darussalam;2019;;;;;;0,21;61424,4;1,59;1869;3,9;;99;;;;;6
113;26;Brunei Darussalam;2020;;;;;;0,21;61603,6;1,59;1869;4,5;;99;;;;;6
114;26;Brunei Darussalam;2021;;;;;;0,21;60127;1,59;1870;;;;;;;;5
115;27;Bulgaria;2017;112;92,8;83,7;40;-189,5;0,19;21470;1,5;1911;42,4;42;99;86;97,4;66,8;42;9
116;27;Bulgaria;2018;113;97,4;84,3;41;-195,2;0,19;22206,2;1,5;1912;22,7;42;99;86;97,5;68,6;41;9
117;27;Bulgaria;2019;114;105;83;42;-160,5;0,19;23266,1;1,5;1912;14,8;39;99;86;97,5;70,4;39;9
118;27;Bulgaria;2020;116;115,8;80,7;41,7;-268,8;0,21;22479,6;1,5;1912;13,8;26;99;86;97,6;72,2;36;10
119;27;Bulgaria;2021;117;;;;;0,2;24393,8;1,5;1912;;14;;;;;;10
120;28;Myanmar;2017;120;83,6;94,7;43,7;-5,5;0,21;4312,9;1,68;1795;16,3;18;77,6;72,2;54,4;60,9;49;22
121;28;Myanmar;2018;120;85,4;95,3;44,3;-5;0,21;4556,3;1,68;1796;19,2;11;79,6;72,7;56;60,8;49;20
122;28;Myanmar;2019;120;89,7;96;44,7;-10,4;0,21;4829,5;1,68;1797;37,2;19;81,7;73,2;57,6;60,8;49;15
123;28;Myanmar;2020;121;94;96,7;45;-12,5;0,21;4947,1;1,68;1798;39,4;20;83,7;73,6;58,8;60,7;48;13
124;28;Myanmar;2021;121;;;;;0,25;4032,6;1,68;1799;;23;;;;;;12
125;29;Burundi;2017;;15,2;39,7;2;23,9;0,28;750,8;1,51;1642;19,7;;60,8;45,8;;;64;70
126;29;Burundi;2018;;15,3;40,7;2;25,6;0,28;740,4;1,51;1648;16,8;;61,5;45,8;;;64;74
127;29;Burundi;2019;;15,5;41,3;2,3;26;0,28;729,7;1,51;1655;11,5;;62,1;45,7;;;64;74
128;29;Burundi;2020;;15,7;41;2,3;22,9;0,28;711,4;1,51;1661;15,4;;62,2;45,7;;;64;73
129;29;Burundi;2021;;;;;;0,28;705;1,51;1667;;;;;;;;77
130;32;Cameroon;2017;125;56,6;72,3;12;29,4;0,26;3691,1;3,19;1735;3,6;70;64,7;43,4;;;55;25
131;32;Cameroon;2018;124;56;72;11,3;28,9;0,26;3732,5;3,19;1744;9,4;62;65;43,8;;;56;25
132;32;Cameroon;2019;125;55,3;71,7;11;31;0,26;3756,5;3,19;1746;10,9;28;65,4;44,2;;;56;25
133;32;Cameroon;2020;126;54,9;72;11;31,4;0,26;3665,5;3,19;1748;11;37;65,7;44,6;;;57;26
134;32;Cameroon;2021;126;;;;;0,27;3700,5;3,19;1751;;47;;;;;;28
135;33;Canada;2017;143;157,8;101;54,7;-84;0,2;48317,2;2,09;1920;65,8;30;99;99;98,9;83,6;27;7
136;33;Canada;2018;144;158,1;104,4;56,4;-79,6;0,2;48962,5;2,09;1920;52,1;27;99;99;99;84;28;7
137;33;Canada;2019;144;158,4;106;58,4;-84,7;0,2;49171,5;2,09;1919;50;27;99;99;99;84,4;28;7
138;33;Canada;2020;144;159,8;106,7;59,7;-85,6;0,21;46064,3;2,09;1919;33,5;28;99;99;99;84,4;29;7
139;33;Canada;2021;145;;;;;0,21;47892,9;2,09;1919;;25;;;;;;7
140;35;Cabo Verde;2017;99;65;69,7;26;98;0,26;6320,3;1,85;1863;2,8;12;87,1;74,1;;;52;
141;35;Cabo Verde;2018;100;65,5;70,3;25,7;98,6;0,26;6534,5;1,85;1865;3;7;87,6;75,8;;;53;
142;35;Cabo Verde;2019;101;65,3;71;25,3;100;0,25;6835,1;1,85;1867;7,9;27;88,2;77,5;;;52;365
143;35;Cabo Verde;2020;102;67,5;71;24,7;100;0,25;5768,5;1,85;1868;8,6;37;88,8;79,1;;;52;350
144;35;Cabo Verde;2021;102;;;;;0,25;6114,1;1,85;1870;;38;;;;;;389
145;37;Central African Republic;2017;85;56,5;49,4;20;24,9;0,29;839,6;1,98;1665;4,7;65;40,2;15,2;6,5;14,6;54;66
146;37;Central African Republic;2018;86;59,1;50,7;20;;0,29;854,6;1,98;1666;3,8;44;39,2;14,8;6,4;14,3;53;58
147;37;Central African Republic;2019;87;59,7;50,7;20,3;;0,29;861,8;1,98;1666;3,5;54;38,2;14,5;6,3;13,9;52;58
148;37;Central African Republic;2020;87;58,6;50;20,3;;0,29;847,8;1,98;1668;3,5;68;37,2;14,1;6,2;13,6;52;61
149;37;Central African Republic;2021;86;;;;;0,29;837,5;1,98;1668;;55;;;;;;58
150;38;Sri Lanka;2017;110;49,2;66,3;18;29,6;0,22;13584,2;2,05;1783;10;29;91,5;92,7;;;58;19
151;38;Sri Lanka;2018;111;50,1;67;18;32;0,22;13753,1;2,05;1784;23,6;23;92,2;93,7;;;58;18
152;38;Sri Lanka;2019;113;51,1;67,7;18;32,4;0,23;13639;2,05;1786;21,6;17;92,2;93,7;;;58;17
153;38;Sri Lanka;2020;114;52,2;68,3;18,3;20,9;0,23;13095,8;2,05;1788;21,7;5;92,2;93,7;;;58;17
154;38;Sri Lanka;2021;116;;;;;0,23;13386,7;2,05;1789;;9;;;;;;18
155;39;Chad;2017;108;65,7;77;25,3;5,5;0,36;1579,8;3,09;1694;23,4;62;45,1;11,4;5,6;9,6;62;9
156;39;Chad;2018;109;65,9;77,7;25,7;4,6;0,36;1563,5;3,09;1697;8,8;44;45,5;11,6;5,6;9,8;62;9
157;39;Chad;2019;108;66,5;78;26,3;4;0,36;1562;3,09;1699;7,2;21;45,8;11,8;5,6;10;62;8
158;39;Chad;2020;106;66,3;77,7;26,7;3,8;0,36;1489,2;3,09;1701;7;20;46,2;12,1;5,6;10,1;61;7
159;39;Chad;2021;104;;;;;0,36;1425,5;3,09;1703;;14;;;;;;7
160;40;Chile;2017;122;90,6;89,4;47,3;41,4;0,22;24546,9;2,47;1880;17,1;19;99;99;98,8;74,4;42;7
161;40;Chile;2018;123;90,7;91,4;48,3;42,9;0,22;25072;2,47;1882;18,2;12;99;99;98,8;75,7;43;8
162;40;Chile;2019;123;92,5;92,3;48,3;48,1;0,23;24816,6;2,47;1883;21;11;99;99;98,8;77,2;43;8
163;40;Chile;2020;125;95,8;92,7;48,3;53,9;0,23;23017,7;2,47;1884;21,2;13;99;99;98,8;78,6;42;8
164;40;Chile;2021;126;;;;;0,23;25449,1;2,47;1885;;16;;;;;;9
165;44;Colombia;2017;130;87,6;69,3;36;61,7;0,27;14334,9;2,83;1823;6,7;42;96,9;90,9;72,7;17,9;34;13
166;44;Colombia;2018;130;89;70,4;36,3;61,2;0,27;14426,4;2,83;1825;12,6;30;97,1;91,8;72,9;18;34;13
167;44;Colombia;2019;129;89,9;72;37;62,8;0,28;14616,1;2,83;1826;12,9;32;97,3;92,8;73;18,2;35;12
168;44;Colombia;2020;130;90;72,7;37,3;63,6;0,31;13387,7;2,83;1828;12,9;47;97,5;93,7;73;18,3;36;13
169;44;Colombia;2021;130;;;;;0,31;14648,6;2,83;1828;;40;;;;;;15
170;45;Comoros;2017;111;62,4;55,3;14,7;;0,26;3240,2;1,51;1738;3,5;24;80,2;35,9;;;57;422
171;45;Comoros;2018;112;61,9;55;14,3;73,2;0,26;3294,8;1,51;1740;3,7;20;80,2;35,9;;;57;233
172;45;Comoros;2019;112;60,3;54,3;14,7;;0,26;3290,7;1,51;1743;3,4;20;80,2;35,9;;;56;192
173;45;Comoros;2020;112;59,7;54,7;15,7;;0,26;3222,4;1,51;1745;2,7;19;;;;;56;257
174;45;Comoros;2021;111;;;;;0,26;3228,5;1,51;1749;;16;;;;;;296
175;46;Congo;2017;97;47,9;51;24;87,2;0,27;4073,9;3,21;1733;2,7;54;73,2;20,2;45,4;;61;6
176;46;Congo;2018;96;48,5;51,7;25;92,2;0,28;3786,4;3,21;1736;3;21;73,4;20,3;45,5;;60;6
177;46;Congo;2019;97;49,3;52,7;25,3;93,3;0,29;3695,1;3,21;1738;2,9;23;73,6;20,4;45,7;;61;6
178;46;Congo;2020;97;52,1;52,3;25;96,2;0,3;3384,7;3,21;1742;2,6;27;73,8;20,5;45,9;;60;8
179;46;Congo;2021;98;;;;;0,35;3234,4;3,21;1747;;20;;;;;;9
180;47;Cook Islands;2017;;;;;;;;3,02;;6,4;;99;98,7;;;;216
181;47;Cook Islands;2018;;;;;;;;3,02;;2,6;;99;99;;;;225
182;47;Cook Islands;2019;;;;;;;;3,02;;2,8;;99;99;;;;219
183;47;Cook Islands;2020;;;;;;;;3,02;;5,4;;99;99;;;;202
184;47;Cook Islands;2021;;;;;;;;3,02;;;;;;;;;206
185;48;Costa Rica;2017;121;99,2;78;43,7;85,7;0,22;20168,2;3,39;1879;7,3;35;99;97,4;80,5;31;32;19
186;48;Costa Rica;2018;123;102,3;80;45;85,8;0,22;20503,3;3,39;1880;11,1;46;99;97,6;80,5;30,5;32;18
187;48;Costa Rica;2019;123;104,5;82;46,7;87,5;0,22;20818,1;3,39;1882;12,4;40;99;97,8;80,5;30,3;32;16
188;48;Costa Rica;2020;124;104,3;83,3;47,7;89,5;0,23;19824,3;3,39;1884;15,4;33;99;97,9;80,5;30,2;33;15
189;48;Costa Rica;2021;124;;;;;0,23;21199,3;3,39;1886;;15;;;;;;14
190;49;Cuba;2017;140;69,8;85;31,7;;0,23;;3,31;1883;22,8;48;96,3;90,7;;37;48;71
191;49;Cuba;2018;140;71,7;86,3;33;;0,23;;3,31;1883;22,4;61;96,5;90,9;;36,9;47;77
192;49;Cuba;2019;140;73,2;85;33,7;;0,23;;3,31;1883;18,1;60;96,8;91,1;;36,8;46;79
193;49;Cuba;2020;139;76,3;84;34,7;77,7;0,23;;3,31;1883;13;51;97;91,4;;36,6;45;85
194;49;Cuba;2021;135;;;;;0,23;;3,31;1884;;21;;;;;;101
195;50;Cyprus;2017;117;114,5;92;46;96,1;0,18;38415,1;1,5;1945;11,4;52;99;99;99;77;41;29
196;50;Cyprus;2018;117;115,9;91,7;46;99,6;0,18;40092,7;1,5;1946;13,9;34;99;99;99;77,1;41;26
197;50;Cyprus;2019;118;119;93,7;48,7;98,1;0,18;41739,5;1,5;1944;11,3;25;99;99;99;77,1;40;26
